true,predicted,count,share_of_true_class
Acute kidney failure,Back or spine pain,3,0.0234375
Acute kidney failure,Hypotension,3,0.0234375
Acute kidney failure,Multiple fractures of ribs,3,0.0234375
Acute kidney failure,Sepsis,3,0.0234375
Acute pharyngitis,Laceration w/o fb of l idx fngr w/o damage to nail,3,0.017857142857142856
Acute upper respiratory infection,Diabetes mellitus,3,0.036585365853658534
Alcohol abuse with intoxication,Laceration w/o fb of l idx fngr w/o damage to nail,3,0.008695652173913044
Alcohol abuse with intoxication,Unspecified asthma with (acute) exacerbation,3,0.008695652173913044
Anxiety disorder,Cardiovascular risk factor,3,0.021739130434782608
Anxiety disorder,Epilepsy,3,0.021739130434782608
Back or spine pain,Acute kidney failure,3,0.0035087719298245615
Back or spine pain,Non-ST elevation (NSTEMI) myocardial infarction,3,0.0035087719298245615
Back or spine pain,Sepsis,3,0.0035087719298245615
Back or spine pain,Unspecified asthma with (acute) exacerbation,3,0.0035087719298245615
Cardiovascular risk factor,Alcohol abuse with intoxication,3,0.004005340453938585
Dehydration,Acute kidney failure,3,0.023255813953488372
Dehydration,Anemia,3,0.023255813953488372
Dehydration,Cardiovascular risk factor,3,0.023255813953488372
Dehydration,Hypotension,3,0.023255813953488372
Dehydration,Lower respiratory disease,3,0.023255813953488372
Dehydration,Sepsis,3,0.023255813953488372
Dehydration,UTI or pyelonephritis,3,0.023255813953488372
Dehydration,Unsp intestnl obst,3,0.023255813953488372
End stage renal disease,Heart failure,3,0.06818181818181818
Epilepsy,Cardiovascular risk factor,3,0.030927835051546393
GI bleed,Acute upper respiratory infection,3,0.009933774834437087
GI bleed,Hypothyroidism,3,0.009933774834437087
GI bleed,Lower respiratory disease,3,0.009933774834437087
GI bleed,Unsp intestnl obst,3,0.009933774834437087
Head injury,Anemia,3,0.00597609561752988
Head injury,Hypotension,3,0.00597609561752988
Head injury,Unspecified asthma with (acute) exacerbation,3,0.00597609561752988
Heart failure,Diabetes mellitus,3,0.03529411764705882
Heart failure,Unspecified atrial fibrillation,3,0.03529411764705882
Hypokalemia,Skin or soft-tissue infection,3,0.023622047244094488
Hypothyroidism,Acute upper respiratory infection,3,0.046153846153846156
Hypothyroidism,Dehydration,3,0.046153846153846156
Limb injury or pain,Heart failure,3,0.0033222591362126247
Lower respiratory disease,Acute kidney failure,3,0.008130081300813009
Major depressive disorder,Alcohol abuse with intoxication,3,0.011235955056179775
Major depressive disorder,Back or spine pain,3,0.011235955056179775
Major depressive disorder,Limb injury or pain,3,0.011235955056179775
Sepsis,Dehydration,3,0.07317073170731707
Sepsis,Lower respiratory disease,3,0.07317073170731707
Skin or soft-tissue infection,Acute kidney failure,3,0.007712082262210797
Skin or soft-tissue infection,Alcohol abuse with intoxication,3,0.007712082262210797
Skin or soft-tissue infection,Anxiety disorder,3,0.007712082262210797
Skin or soft-tissue infection,Epilepsy,3,0.007712082262210797
Skin or soft-tissue infection,GI bleed,3,0.007712082262210797
Skin or soft-tissue infection,Major depressive disorder,3,0.007712082262210797
Skin or soft-tissue infection,Unsp intestnl obst,3,0.007712082262210797
UTI or pyelonephritis,Acute pharyngitis,3,0.007263922518159807
UTI or pyelonephritis,Laceration w/o fb of l idx fngr w/o damage to nail,3,0.007263922518159807
UTI or pyelonephritis,Major depressive disorder,3,0.007263922518159807
UTI or pyelonephritis,Non-ST elevation (NSTEMI) myocardial infarction,3,0.007263922518159807
UTI or pyelonephritis,Unspecified asthma with (acute) exacerbation,3,0.007263922518159807
Unsp intestnl obst,GI bleed,3,0.02564102564102564
Unsp intestnl obst,Hypothyroidism,3,0.02564102564102564
Unsp intestnl obst,Lower respiratory disease,3,0.02564102564102564
Unspecified atrial fibrillation,Head injury,3,0.01675977653631285
Acute kidney failure,Lower respiratory disease,2,0.015625
Acute kidney failure,Non-ST elevation (NSTEMI) myocardial infarction,2,0.015625
Acute pharyngitis,Cardiovascular risk factor,2,0.011904761904761904
Acute pharyngitis,Dehydration,2,0.011904761904761904
Acute pharyngitis,Lower respiratory disease,2,0.011904761904761904
Acute pharyngitis,Skin or soft-tissue infection,2,0.011904761904761904
Acute pharyngitis,UTI or pyelonephritis,2,0.011904761904761904
Acute upper respiratory infection,Anxiety disorder,2,0.024390243902439025
Acute upper respiratory infection,Dehydration,2,0.024390243902439025
Acute upper respiratory infection,Hypothyroidism,2,0.024390243902439025
Acute upper respiratory infection,Limb injury or pain,2,0.024390243902439025
Alcohol abuse with intoxication,Back or spine pain,2,0.005797101449275362
Alcohol abuse with intoxication,Hypokalemia,2,0.005797101449275362
Alcohol abuse with intoxication,Multiple fractures of ribs,2,0.005797101449275362
Anemia,Acute kidney failure,2,0.017543859649122806
Anemia,Acute upper respiratory infection,2,0.017543859649122806
Anemia,Hypokalemia,2,0.017543859649122806
Anemia,Hypothyroidism,2,0.017543859649122806
Anemia,Non-ST elevation (NSTEMI) myocardial infarction,2,0.017543859649122806
Anemia,Unspecified atrial fibrillation,2,0.017543859649122806
Anxiety disorder,Alcohol abuse with intoxication,2,0.014492753623188406
Anxiety disorder,Diabetes mellitus,2,0.014492753623188406
Anxiety disorder,Limb injury or pain,2,0.014492753623188406
Anxiety disorder,Unspecified asthma with (acute) exacerbation,2,0.014492753623188406
Anxiety disorder,Unspecified atrial fibrillation,2,0.014492753623188406
Back or spine pain,Alcohol abuse with intoxication,2,0.0023391812865497076
Back or spine pain,Epilepsy,2,0.0023391812865497076
Back or spine pain,Unsp intestnl obst,2,0.0023391812865497076
Dehydration,Skin or soft-tissue infection,2,0.015503875968992248
Diabetes mellitus,Alcohol abuse with intoxication,2,0.004705882352941176
Diabetes mellitus,Major depressive disorder,2,0.004705882352941176
End stage renal disease,Acute kidney failure,2,0.045454545454545456
End stage renal disease,Anemia,2,0.045454545454545456
