true,predicted,count,share_of_true_class
Anemia,Hypokalemia,1,0.008771929824561403
Anemia,Hypothyroidism,1,0.008771929824561403
Anemia,Non-ST elevation (NSTEMI) myocardial infarction,1,0.008771929824561403
Anemia,Sepsis,1,0.008771929824561403
Anemia,Skin or soft-tissue infection,1,0.008771929824561403
Anemia,Unsp intestnl obst,1,0.008771929824561403
Anemia,Unspecified atrial fibrillation,1,0.008771929824561403
Anxiety disorder,Epilepsy,1,0.007246376811594203
Anxiety disorder,Head injury,1,0.007246376811594203
Anxiety disorder,Hypokalemia,1,0.007246376811594203
Anxiety disorder,Skin or soft-tissue infection,1,0.007246376811594203
Anxiety disorder,Unspecified atrial fibrillation,1,0.007246376811594203
Back or spine pain,Alcohol abuse with intoxication,1,0.0011695906432748538
Dehydration,Alcohol abuse with intoxication,1,0.007751937984496124
Dehydration,GI bleed,1,0.007751937984496124
Dehydration,Heart failure,1,0.007751937984496124
Dehydration,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.007751937984496124
Dehydration,Major depressive disorder,1,0.007751937984496124
Diabetes mellitus,Sepsis,1,0.002352941176470588
End stage renal disease,Anemia,1,0.022727272727272728
End stage renal disease,Anxiety disorder,1,0.022727272727272728
End stage renal disease,Lower respiratory disease,1,0.022727272727272728
End stage renal disease,Skin or soft-tissue infection,1,0.022727272727272728
Epilepsy,Acute pharyngitis,1,0.010309278350515464
Epilepsy,Cardiovascular risk factor,1,0.010309278350515464
Epilepsy,End stage renal disease,1,0.010309278350515464
Epilepsy,GI bleed,1,0.010309278350515464
Epilepsy,Hypotension,1,0.010309278350515464
Epilepsy,Hypothyroidism,1,0.010309278350515464
Epilepsy,Limb injury or pain,1,0.010309278350515464
Epilepsy,Lower respiratory disease,1,0.010309278350515464
Epilepsy,Major depressive disorder,1,0.010309278350515464
Epilepsy,Skin or soft-tissue infection,1,0.010309278350515464
Epilepsy,Unspecified atrial fibrillation,1,0.010309278350515464
